timestamp, trade_timestamp,cur_price,volume,ask_bid,change_price,sid,ob_timestamp,ask_price,ask_size,bid_price,bid_size
2018-12-04 17:41:26,230, 1543912884000,4506000.0,0.09386727,BID,119000.0,1543912884000002,1543912885840,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:27,045, 1543912884000,4506000.0,0.09386727,BID,119000.0,1543912884000002,1543912886471,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:27,651, 1543912884000,4506000.0,0.09386727,BID,119000.0,1543912884000002,1543912887512,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:28,246, 1543912884000,4506000.0,0.09386727,BID,119000.0,1543912884000002,1543912888022,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:28,887, 1543912884000,4506000.0,0.09386727,BID,119000.0,1543912884000002,1543912888615,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:29,524, 1543912884000,4506000.0,0.09386727,BID,119000.0,1543912884000002,1543912889127,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:30,131, 1543912884000,4506000.0,0.09386727,BID,119000.0,1543912884000002,1543912889676,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:30,738, 1543912890000,4506000.0,0.00022209,BID,119000.0,1543912890000000,1543912890211,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:31,380, 1543912890000,4506000.0,0.00022209,BID,119000.0,1543912890000000,1543912890780,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:31,988, 1543912890000,4506000.0,0.00022209,BID,119000.0,1543912890000000,1543912891952,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:32,602, 1543912890000,4506000.0,0.00022209,BID,119000.0,1543912890000000,1543912891952,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:33,200, 1543912890000,4506000.0,0.00022209,BID,119000.0,1543912890000000,1543912893131,4506000.0,999999999999,4505000.0,999999999999
2018-12-04 17:41:33,852, 1543912893000,4505000.0,0.027,ASK,118000.0,1543912893000001,1543912893689,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:34,457, 1543912894000,4505000.0,0.00022204,BID,118000.0,1543912894000000,1543912894278,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:35,066, 1543912894000,4505000.0,0.00022204,BID,118000.0,1543912894000000,1543912894868,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:35,666, 1543912894000,4505000.0,0.00022204,BID,118000.0,1543912894000000,1543912895403,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:36,401, 1543912894000,4504000.0,0.07806,ASK,117000.0,1543912894000001,1543912895949,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:37,009, 1543912896000,4505000.0,0.08048741,BID,118000.0,1543912896000000,1543912896503,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:56,913, 1543912896000,4505000.0,0.08048741,BID,118000.0,1543912896000000,1543912916299,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:57,522, 1543912915000,4504000.0,0.04,ASK,117000.0,1543912915000000,1543912917402,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:58,130, 1543912915000,4504000.0,0.04,ASK,117000.0,1543912915000000,1543912918036,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:58,729, 1543912915000,4504000.0,0.04,ASK,117000.0,1543912915000000,1543912918631,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:41:59,411, 1543912915000,4504000.0,0.04,ASK,117000.0,1543912915000000,1543912919237,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:42:00,039, 1543912915000,4504000.0,0.04,ASK,117000.0,1543912915000000,1543912919845,4505000.0,999999999999,4504000.0,999999999999
2018-12-04 17:42:00,995, 1543912915000,4504000.0,0.04,ASK,117000.0,1543912915000000,1543912920424,4505000.0,999999999999,4504000.0,999999999999
