ask_price,bid_price,ask_size,bid_size,cur_price,cur_volume,macd_first,macd_second,macd_third,stoch_first,stoch_second,ma,sma,rsi,std
4713928.57142857,4668095.23809524,999999999999.0,999999999999.0,4693615.384615385,0.187841221538462,2025.2035678038374,8506.724105753641,-6481.520537949804,7.685627442466338,14.1934725159796,4726500.0,4726500.0,36.54214320258051,4726500.0
4715337.20930233,4675546.51162791,999999999999.0,999999999999.0,4695000.0,0.371523796,-840.5380184333771,6637.2716809162375,-7477.809699349615,3.9556563366087083,8.178414851624892,4726833.333333333,4726833.333333333,37.06225704754391,4726833.333333333
4734893.61702128,4708131.20567376,999999999999.0,999999999999.0,4721100.0,0.161929395428571,-4272.779568694532,4455.261430994084,-8728.040999688616,1.2345679012345585,4.291950560103187,4726566.666666667,4726566.666666667,32.72893620130072,4726566.666666667
4736202.53164557,4708898.73417722,999999999999.0,999999999999.0,4722333.333333333,0.0900172677777778,-6992.937141478062,2165.6217164996547,-9158.558857977716,1.2345679012345585,2.1415973796925933,4726133.333333333,4726133.333333333,32.45648800861144,4726133.333333333
4678363.63636364,4648963.63636364,999999999999.0,999999999999.0,4662636.363636363,0.111429917272727,-8725.334816548042,-12.569590109884757,-8712.765226438158,6.34920634920634,2.9394473838918045,4725566.666666667,4725566.666666667,34.7946778087643,4725566.666666667
4683230.15873016,4650563.49206349,999999999999.0,999999999999.0,4667151.515151516,0.148733195757576,-10780.91322503239,-2166.238317094386,-8614.674907938002,6.34920634920634,4.644326866549065,4724566.666666667,4724566.666666667,31.828251298894845,4724566.666666667
4689150.0,4658200.0,999999999999.0,999999999999.0,4675125.0,0.22466954125,-13146.04259663634,-4362.199173002777,-8783.843423633563,7.539682539682531,6.746031746031722,4722833.333333333,4722833.333333333,28.90863531098549,4722833.333333333
4688953.48837209,4659046.51162791,999999999999.0,999999999999.0,4675000.0,0.0230649775,-14211.075094655156,-6331.974357333253,-7879.100737321904,11.904761904761898,8.597883597883575,4721233.333333333,4721233.333333333,33.67382191993217,4721233.333333333
4685713.82636656,4655173.63344051,999999999999.0,999999999999.0,4670753.623188406,0.402797951739131,-14325.148133334704,-7930.609112533542,-6394.539020801161,30.952380952380945,16.798941798941776,4719800.0,4719800.0,37.614231166843055,4719800.0
4680762.98701299,4650035.71428571,999999999999.0,999999999999.0,4664653.846153846,0.249943501538462,-13772.639566678554,-9099.015203362545,-4673.624363316008,52.67857142857142,31.845238095238074,4718766.666666667,4718766.666666667,40.85757773963776,4718766.666666667
4676843.94904459,4644452.22929936,999999999999.0,999999999999.0,4656203.703703703,0.258176442962963,-13342.353486629203,-9947.682860015877,-3394.670626613326,62.797619047619044,48.80952380952379,4717800.0,4717800.0,40.10904030229366,4717800.0
4673808.91719745,4640929.93630573,999999999999.0,999999999999.0,4651969.696969697,0.225246777373737,-11816.14811352361,-10321.375910717423,-1494.7722028061871,77.08333333333333,64.18650793650791,4717333.333333333,4717333.333333333,46.916686465820796,4717333.333333333
4677517.24137931,4645882.75862069,999999999999.0,999999999999.0,4657250.0,0.120434343333333,-9927.341646120884,-10242.569057798115,315.22741167723143,81.75287356321839,73.87794198139024,4717500.0,4717500.0,50.19923451369653,4717500.0
4715200.0,4690000.0,999999999999.0,999999999999.0,4701000.0,0.070868305,-7536.654622986913,-9701.386170835875,2164.731547848962,88.56181665264928,82.46600784973366,4717633.333333333,4717633.333333333,54.52544975735415,4717633.333333333
4713759.61538462,4686269.23076923,999999999999.0,999999999999.0,4700472.222222222,0.187692345277778,-6933.846788645722,-9147.878294397844,2214.031505752122,69.04962153069808,79.7881039155219,4717200.0,4717200.0,47.043640497968234,4717200.0
4713990.0,4683920.0,999999999999.0,999999999999.0,4698400.0,0.026783799,-5903.910772695206,-8499.084790057317,2595.174017362111,58.580531751263464,72.0639899782036,4715200.0,4715200.0,49.66866199171475,4715200.0
4725140.35087719,4689845.61403509,999999999999.0,999999999999.0,4710450.0,0.2151728368,-5109.471890994348,-7821.162210244724,2711.690319250376,42.43250820206246,56.68755382800799,4713200.0,4713200.0,49.23065225499407,4713200.0
4720171.20622568,4681583.65758755,999999999999.0,999999999999.0,4700911.392405063,0.199019512025316,-8098.336335347965,-7876.597035265372,-221.73930008259322,28.611369990680345,43.208136648002075,4709800.0,4709800.0,34.26262771870107,4709800.0
4705174.75728155,4672375.40453074,999999999999.0,999999999999.0,4688976.7441860465,0.255403490465116,-10666.838833512738,-8434.645394914845,-2232.193438597893,12.752114508783352,27.931997567175372,4706366.666666667,4706366.666666667,33.314113170563466,4706366.666666667
4706640.12738854,4668025.47770701,999999999999.0,999999999999.0,4683014.492753623,0.138537439565217,-12079.006445083767,-9163.517604948629,-2915.488840135138,6.289308176100636,15.8842642251881,4703000.0,4703000.0,36.1686352172424,4703000.0
4702749.19614148,4668244.37299035,999999999999.0,999999999999.0,4686567.796610169,0.287600266101695,-12010.716038820334,-9732.95729172297,-2277.758747097363,19.7508466376391,12.930756440841018,4700333.333333333,4700333.333333333,41.9651278456888,4700333.333333333
4697000.0,4662405.06329114,999999999999.0,999999999999.0,4681076.923076923,0.158169726923077,-11501.249583329074,-10086.615750044191,-1414.6338332848827,49.35718253328317,25.132445782340955,4698266.666666667,4698266.666666667,43.660425809456,4698266.666666667
4692000.0,4655000.0,999999999999.0,999999999999.0,4667371.428571428,0.0595702708571428,-10811.48242209386,-10231.589084454125,-579.8933376397363,77.659069325736,48.922366165552745,4696266.666666667,4696266.666666667,44.532889255698684,4696266.666666667
